Time,SP,PV,OP
00:54:00,6.625000477,6.64800024,26.02999878
00:54:00,6.625000477,6.64800024,26.02999878
00:54:00,6.625000477,6.64800024,26.02999878
00:54:00,6.624000549,6.64800024,26.01999855
00:54:00,6.618000507,6.640000343,26.02999878
00:54:00,6.618000507,6.640000343,26.02999878
00:54:00,6.611000538,6.64400053,25.98999977
00:54:00,6.611000538,6.64400053,25.98999977
00:54:00,6.604000092,6.647000313,25.95999908
00:54:00,6.623000145,6.6510005,26.00999832
00:54:00,6.632000446,6.647000313,26.04999924
00:54:00,6.610000134,6.638000488,26.00999832
00:54:00,6.610000134,6.645000458,25.97999954
00:54:00,6.607000351,6.650000095,25.95999908
00:54:00,6.617000103,6.653000355,25.97999954
00:54:00,6.612000465,6.649000168,25.96999931
00:54:00,6.613000393,6.646000385,25.98999977
00:55:00,6.619000435,6.6510005,25.98999977
00:55:00,6.59400034,6.650000095,25.90999985
00:55:00,6.617000103,6.646000385,26
00:55:00,6.622000217,6.650000095,26
00:55:00,6.605000496,6.6510005,25.93999863
00:55:00,6.596000195,6.6510005,25.90999985
00:55:00,6.61400032,6.652000427,25.95999908
00:55:00,6.603000164,6.64800024,25.93999863
00:55:00,6.631000519,6.64800024,26.02999878
00:55:00,6.61400032,6.646000385,25.97999954
00:55:00,6.605000496,6.641000271,25.95999908
00:55:00,6.631000519,6.639000416,26.05999947
00:55:00,6.638000488,6.640000343,26.07999992
00:55:00,6.632000446,6.640000343,26.05999947
00:55:00,6.632000446,6.640000343,26.05999947
00:55:00,6.631000519,6.634000301,26.06999969
00:55:00,6.631000519,6.634000301,26.06999969
00:55:00,6.628000259,6.635000229,26.05999947
00:55:00,6.635000229,6.637000084,26.07999992
00:55:00,6.627000332,6.641000271,26.03999901
00:55:00,6.616000175,6.630000114,26.03999901
00:55:00,6.637000084,6.637000084,26.07999992
00:55:00,6.642000198,6.635000229,26.1099987
00:55:00,6.656000137,6.632000446,26.17000008
00:55:00,6.630000114,6.642000198,26.04999924
00:55:00,6.630000114,6.642000198,26.04999924
00:55:00,6.626000404,6.64400053,26.02999878
00:55:00,6.625000477,6.645000458,26.01999855
00:55:00,6.650000095,6.636000156,26.12999916
00:55:00,6.656000137,6.64400053,26.11999893
00:55:00,6.650000095,6.649000168,26.08999825
00:55:00,6.641000271,6.642000198,26.07999992
00:55:00,6.654000282,6.634000301,26.14999962
00:55:00,6.64400053,6.640000343,26.09999847
00:55:00,6.665000439,6.638000488,26.1799984
00:55:00,6.663000107,6.639000416,26.17000008
00:55:00,6.6510005,6.640000343,26.12999916
00:55:00,6.640000343,6.642000198,26.07999992
00:55:00,6.636000156,6.64400053,26.05999947
00:55:00,6.634000301,6.635000229,26.07999992
00:55:00,6.650000095,6.646000385,26.09999847
00:55:00,6.636000156,6.64400053,26.05999947
00:55:00,6.639000416,6.641000271,26.07999992
00:55:00,6.654000282,6.64400053,26.11999893
00:55:00,6.654000282,6.64400053,26.11999893
00:55:00,6.652000427,6.650000095,26.08999825
00:55:00,6.652000427,6.650000095,26.08999825
00:55:00,6.641000271,6.647000313,26.06999969
00:55:00,6.627000332,6.643000126,26.02999878
00:55:00,6.61400032,6.6510005,25.95999908
00:55:00,6.610000134,6.650000095,25.94999886
00:55:00,6.623000145,6.653000355,25.97999954
00:55:00,6.64400053,6.654000282,26.04999924
00:55:00,6.64400053,6.641000271,26.08999825
00:55:00,6.643000126,6.64400053,26.07999992
00:55:00,6.642000198,6.639000416,26.08999825
00:55:00,6.641000271,6.645000458,26.06999969
00:55:00,6.642000198,6.654000282,26.03999901
00:55:00,6.633000374,6.650000095,26.02999878
00:55:00,6.631000519,6.643000126,26.03999901
00:56:00,6.631000519,6.643000126,26.03999901
00:56:00,6.631000519,6.64400053,26.03999901
00:56:00,6.641000271,6.650000095,26.04999924
00:56:00,6.642000198,6.656000137,26.03999901
00:56:00,6.656000137,6.656000137,26.07999992
00:56:00,6.65500021,6.661000252,26.05999947
00:56:00,6.6510005,6.659000397,26.05999947
00:56:00,6.657000542,6.656000137,26.08999825
00:56:00,6.64400053,6.65500021,26.04999924
00:56:00,6.623000145,6.6510005,25.98999977
00:56:00,6.616000175,6.649000168,25.96999931
00:56:00,6.624000549,6.657000542,25.96999931
00:56:00,6.643000126,6.647000313,26.06999969
00:56:00,6.645000458,6.642000198,26.08999825
00:56:00,6.645000458,6.642000198,26.08999825
00:56:00,6.645000458,6.652000427,26.05999947
00:56:00,6.649000168,6.657000542,26.04999924
00:56:00,6.6510005,6.6510005,26.07999992
00:56:00,6.635000229,6.649000168,26.02999878
00:56:00,6.632000446,6.64800024,26.01999855
00:56:00,6.649000168,6.656000137,26.05999947
00:56:00,6.633000374,6.658000469,25.98999977
00:56:00,6.630000114,6.650000095,26.00999832
00:56:00,6.604000092,6.650000095,25.92000008
00:56:00,6.630000114,6.647000313,26.01999855
00:56:00,6.646000385,6.65500021,26.04999924
00:56:00,6.641000271,6.654000282,26.02999878
00:56:00,6.635000229,6.6510005,26.01999855
00:56:00,6.666000366,6.64800024,26.13999939
00:56:00,6.664000511,6.650000095,26.11999893
00:56:00,6.645000458,6.650000095,26.05999947
00:56:00,6.624000549,6.653000355,25.97999954
00:56:00,6.622000217,6.65500021,25.95999908
